Dataset,Algoritm,Approach,window,model,resample,F1-Score,Accuracy,Sensitivity,Specificity,ROC AUC score
commons-bcel,DT,slw,2,Evo,ENN,0.91622592,0.8269230769230769,0.7589158345221113,0.8284729672616145,0.7936944008918629
commons-bcel,LogisticRegression,slw,2,Evo,ENN,0.91622592,0.977717736808646,0.0,1.0,0.5
commons-bcel,MLP,slw,2,Evo,ENN,0.91622592,0.9558804831532104,0.0370898716119828,0.9768197925810332,0.5069548320965082
commons-bcel,RandomForest,slw,2,Str,TL,0.91622592,0.8477431659249841,0.2881597717546362,0.8604961149582236,0.57432794335643
commons-bcel,DT,slw,2,Str,TL,0.91622592,0.7678321678321678,0.4950071326676177,0.7740498715823011,0.6345285021249594
commons-bcel,LogisticRegression,slw,2,Str,TL,0.91622592,0.977717736808646,0.0,1.0,0.5
commons-bcel,MLP,slw,2,Str,TL,0.91622592,0.9775905912269548,0.0042796005706134,0.99977242433109,0.5020260124508517
commons-bcel,RandomForest,slw,2,StrEvo,TL,0.91622592,0.9467577876668786,0.442225392296719,0.9582561201599532,0.700240756228336
commons-bcel,DT,slw,2,StrEvo,TL,0.91622592,0.922536554354736,0.5121255349500713,0.9318898533762476,0.7220076941631595
commons-bcel,LogisticRegression,slw,2,StrEvo,TL,0.91622592,0.9771137952956136,0.0156918687589158,0.9990246757046718,0.5073582722317939
commons-bcel,MLP,slw,2,StrEvo,TL,0.91622592,0.9769866497139224,0.2510699001426533,0.9935303488409896,0.6223001244918215
commons-bcel,RandomForest,slw,2,Evo,TL,0.91622592,0.8272409408773045,0.7589158345221113,0.8287980753600572,0.7938569549410843
commons-bcel,DT,slw,2,Evo,TL,0.91622592,0.8269230769230769,0.7589158345221113,0.8284729672616145,0.7936944008918629
commons-bcel,LogisticRegression,slw,2,Evo,TL,0.91622592,0.977717736808646,0.0,1.0,0.5
commons-bcel,MLP,slw,2,Evo,TL,0.91622592,0.977717736808646,0.0,1.0,0.5
commons-bcel,RandomForest,slw,2,Str,ROS,0.91622592,0.7697393515575334,0.4878744650499286,0.7761630742221789,0.6320187696360537
commons-bcel,DT,slw,2,Str,ROS,0.91622592,0.7684043229497775,0.4907275320970042,0.7747325985890309,0.6327300653430176
commons-bcel,LogisticRegression,slw,2,Str,ROS,0.91622592,0.6960267005721551,0.6362339514978602,0.6973893819695048,0.6668116667336825
commons-bcel,MLP,slw,2,Str,ROS,0.91622592,0.7102352193261284,0.7318116975748931,0.7097434897103286,0.7207775936426108
commons-bcel,RandomForest,slw,2,StrEvo,ROS,0.91622592,0.9234583598219962,0.4835948644793152,0.933482883058617,0.7085388737689662
commons-bcel,DT,slw,2,StrEvo,ROS,0.91622592,0.9223140495867768,0.5064194008559201,0.9317923209467148,0.7191058609013175
commons-bcel,LogisticRegression,slw,2,StrEvo,ROS,0.91622592,0.820184361093452,0.8031383737517832,0.8205728404694561,0.8118556071106197
commons-bcel,MLP,slw,2,StrEvo,ROS,0.91622592,0.90276541640178,0.7047075606276747,0.9072791703241329,0.8059933654759037
commons-bcel,RandomForest,slw,2,Evo,ROS,0.91622592,0.8269230769230769,0.7589158345221113,0.8284729672616145,0.7936944008918629
commons-bcel,DT,slw,2,Evo,ROS,0.91622592,0.8269230769230769,0.7589158345221113,0.8284729672616145,0.7936944008918629
commons-bcel,LogisticRegression,slw,2,Evo,ROS,0.91622592,0.8485696122059758,0.717546362339515,0.8515556422510485,0.7845510022952815
commons-bcel,MLP,slw,2,Evo,ROS,0.91622592,0.8281627463445645,0.7574893009985735,0.8297733996553854,0.7936313503269795
commons-bcel,RandomForest,slw,2,Str,SMOTE,0.91622592,0.9200254291163382,0.1255349500713266,0.938131928866348,0.5318334394688374
commons-bcel,DT,slw,2,Str,SMOTE,0.91622592,0.9205340114431024,0.115549215406562,0.9388796774927664,0.5272144464496642
commons-bcel,LogisticRegression,slw,2,Str,SMOTE,0.91622592,0.6908455181182453,0.637660485021398,0.6920576091550441,0.6648590470882211
