Proj,Fs,App,window,Algorithm,F1,Acc,Sen,AUC,RS
commons-io,Str,slw,3,LogisticRegression,0.76051371,0.62025850699024,0.8282828282828283,0.7220513230804734,SMOTE
commons-io,Str,slw,3,MLP,0.85674889,0.7533632286995515,0.7575757575757576,0.7554245510223742,ROS
commons-io,Str,slw,3,RandomForest,0.82523294,0.7070957530994461,0.7449494949494949,0.725618774631383,RUS
commons-io,Str,slw,4,DT,0.82078259,0.7001684141902537,0.684931506849315,0.6927040862037286,RUS
commons-io,Str,slw,4,LogisticRegression,0.76747824,0.6285108925952083,0.7780821917808219,0.7017835856365588,ROS
commons-io,Str,slw,4,MLP,0.85633235,0.7523768131689031,0.726027397260274,0.7394686371070243,ROS
commons-io,Str,slw,4,RandomForest,0.81485356,0.6922909762590319,0.7643835616438356,0.7276080317918767,RUS
commons-io,StrEvo,trad,0,DT,0.96424852,0.9317816255085628,0.6561679790026247,0.796504281451016,ENN
commons-io,StrEvo,trad,0,LogisticRegression,0.87201384,0.7759485287160564,0.7034120734908137,0.7403460136206778,SMOTE
commons-io,StrEvo,trad,0,MLP,0.94695362,0.9006528526823729,0.7716535433070866,0.8373371055168184,ROS
commons-io,StrEvo,trad,0,RandomForest,0.88365859,0.7946825622102375,0.8293963254593176,0.811720853869997,RUS
commons-io,StrEvo,slw,2,DT,0.8780759,0.7863186503256243,0.8123456790123457,0.799056165857241,RUS
commons-io,StrEvo,slw,2,LogisticRegression,0.84959252,0.7425773037280139,0.7481481481481481,0.7453036509488121,ROS
